Association,Location,Website,Success,President Email,VP Email,Treasurer Email,Notes
"Kapuskasing Jaguars","Kapuskasing, ON | Girls Only",,No,,,,"No website or executive contact information found for this girls-only association"
"Kawartha Coyotes","Lindsay, ON",,No,,,,"No website or executive contact information found"
"Keene Wolverines","Keene, ON | Girls Only",,No,,,,"No website or executive contact information found for this girls-only association"
"Kemptville Royals","Kemptville, ON",,No,,,,"No website or executive contact information found"
"Kenora Thistles","Kenora, ON",,No,,,,"No website or executive contact information found"
"Kent Cobras","Chatham, ON",,No,,,,"No website or executive contact information found"
"Kincardine Kinucks","Kincardine, ON",kincardinebulldogs.ca,Yes,bruce.becker@gmail.com,andyflynn22@gmail.com,jdolmage@brucetelecom.com,"Found Kincardine Bulldogs with executive contacts"
"King Rebellion","Nobleton, ON",kmha.on.ca,Yes,president@kmha.on.ca,vp@kmha.on.ca,treasurer@kmha.on.ca,"Found King Minor Hockey Association (KMHA) contacts"
"Kingston Canadians","Kingston, ON",kcmha.ca,Yes,president@kcmha.ca,vp@kcmha.ca,treasurer@kcmha.ca,"Found Kingston Canadians Minor Hockey Association contacts"
"Kingston Ice Wolves","Kingston, ON | Girls Only",kgha.on.ca,Yes,president@kgha.on.ca,vicepresident@kgha.on.ca,treasurer@kgha.on.ca,"Found Kingston Girls Hockey Association (KGHA) contacts"
"Kingston Jr Gaels","Kingston, ON",kingston-aaa-hockey.ca,Yes,president@kingston-aaa-hockey.ca,,treasurer@kingston-aaa-hockey.ca,"Found Greater Kingston AAA Hockey contacts - President Tim Closs, Treasurer Dana Kellar"
"Kirkland Lake Blue Devils","Kirkland Lake, ON",,Yes,klmha@live.ca,,,"Found KLMHA contact email only, no individual executive emails"
"Kitchener Jr Rangers","Kitchener, ON",kitchenerminorhockey.com,Yes,president@kitchenerminorhockey.com,vp@kitchenerminorhockey.com,treasurer@kitchenerminorhockey.com,"Found KMHA board contacts - President Greg Blundell, Treasurer Brad Freund"
"Kitchener Lady Rangers","Kitchener, ON | Girls Only",kitchenerminorhockey.com,Yes,president@kitchenerminorhockey.com,vp@kitchenerminorhockey.com,treasurer@kitchenerminorhockey.com,"Girls program under KMHA - same contacts as Jr Rangers"
"LPC Wild","Mississauga, ON",lpcha.ca,No,,,,"Found Lorne Park Clarkson Hockey Association website but executive contacts not in preview"
"LaSalle Sabres","LaSalle, ON",lasallesabres.com,Yes,president@lasallesabres.com,vphouseleague@lasallesabres.com,treasurer@lasallesabres.com,"Found LaSalle Minor Hockey Association (LMHA) - President Don Durham, VP House League Brian Green, Treasurer Andy Atkins"
"Lac Seul","Frenchmen's Head, ON",,No,,,,"First Nation community - no minor hockey association contact information found, only general OMHA contacts"
"Lake Erie North Stars","Kingsville, ON",lakeerieminorhockey.ca,Yes,president@lakeerieminorhockey.ca,vpadmin@lakeerieminorhockey.ca,nsfim75@yahoo.ca,"Found Lake Erie Minor Hockey - President Gary Toupin, VP Admin Julie McLean, Treasurer Nelson Ferriera"
"Lake of the Woods Canucks","Kenora, ON | Girls Only",kenoragirlshockey.ca,Yes,ash.hoffmeister@gmail.com,,,"Found Lake of the Woods Girls Hockey - President Ashley Hoffmeister, VP Jennifer Young, Treasurer Stacey Rea (emails not all listed)"
"Lakefield Chiefs","Lakefield, ON",lakefieldminorhockey.ca,Yes,rod.wilson@hillmangroup.com,dylanbeggs78@gmail.com,jdiggity4@gmail.com,"Found Lakefield Minor Hockey - President Rod Wilson, 1st VP Dylan Beggs, Treasurer Jackie Dignam"
